alpha,Lambda,FpoFs
#alpha=  -0
  -0,227.5313, 0.007349457765
  -0,138.7925, 0.006930426660
  -0,97.7517, 0.006671525631
  -0,73.6920, 0.006501884851
  -0,53.8793, 0.006443310102
  -0,42.2119, 0.006211156757
  -0,35.7526, 0.006215923942
  -0,29.7000, 0.006052228889
  -0,24.8385, 0.005930216426
  -0,21.3950, 0.005852967348
  -0,19.3817, 0.006112316032
  -0,18.1802, 0.006058424585
  -0,16.9779, 0.006004239905
  -0,15.7766, 0.005921659887
  -0,14.5751, 0.005845083919
  -0,13.5879, 0.005765209033
  -0,12.7869, 0.005705962075
  -0,11.9861, 0.005627384433
  -0,11.2918, 0.005630521297
  -0,10.6918, 0.005486239001
  -0,10.0913, 0.005407520628
  -0,9.6479, 0.005352787669
  -0,9.3475, 0.005327558123
  -0,8.9952, 0.005279812971
  -0,8.6730, 0.005269596154
  -0,8.3452, 0.005200717244
  -0,8.0743, 0.005159554425
  -0,7.9039, 0.005118372322
  -0,7.7140, 0.005072335912
  -0,7.4982, 0.005041589837
  -0,7.2839, 0.004956748058
  -0,7.0937, 0.004921477280
  -0,6.8726, 0.004893576282
  -0,6.6638, 0.004830582826
  -0,6.5153, 0.004758084807
  -0,6.2974, 0.004642469922
  -0,6.0639, 0.004590514057
  -0,5.8990, 0.004604755609
  -0,5.7594, 0.004552380407
  -0,5.5721, 0.004524783299
  -0,5.3791, 0.004481035162
  -0,5.2647, 0.004453507234
  -0,5.1491, 0.004454948414
  -0,4.9998, 0.004377476793
  -0,4.8816, 0.004328278121
  -0,4.8274, 0.004290127131
  -0,4.7964, 0.004303598482
  -0,4.7498, 0.004275727661
  -0,4.6999, 0.004269619249
  -0,4.6623, 0.004436921336
  -0,4.6050, 0.004237493516
  -0,4.5041, 0.004183422691
  -0,4.3952, 0.004111084245
  -0,4.3007, 0.003885390856
  -0,4.2019, 0.003792805823
  -0,4.0737, 0.003696907312
  -0,3.9494, 0.003541509758
  -0,3.8493, 0.003496135195
  -0,3.7493, 0.003521774352
  -0,3.6621, 0.003479271142
  -0,3.5871, 0.003460486811
  -0,3.5131, 0.003449829772
  -0,3.4381, 0.003443119112
  -0,3.3634, 0.003419689121
  -0,3.3078, 0.003525005652
  -0,3.2691, 0.003403250019
  -0,3.2309, 0.003388572803
  -0,3.1934, 0.003370328625
  -0,3.1559, 0.003360091614
  -0,3.1184, 0.003349617832
  -0,3.0848, 0.003317677370
  -0,3.0548, 0.003356782529
  -0,3.0145, 0.003288969205
  -0,2.9647, 0.003230338599
  -0,2.9086, 0.003183091081
  -0,2.8468, 0.003163058513
  -0,2.7875, 0.003079033639
  -0,2.7304, 0.003007624110
  -0,2.6756, 0.002955275115
  -0,2.6230, 0.003002526932
  -0,2.5736, 0.002930819212
  -0,2.5272, 0.002890310155
  -0,2.4816, 0.002810566240
  -0,2.4368, 0.002719640461
  -0,2.3942, 0.002589206986
  -0,2.3536, 0.002448938957
  -0,2.3143, 0.002340533704
  -0,2.2765, 0.002193436294
  -0,2.2400, 0.002164561760
  -0,2.2089, 0.002183911952
  -0,2.1828, 0.002210662800
  -0,2.1625, 0.002346621263
  -0,2.1477, 0.002197572152
  -0,2.1365, 0.002202832388
  -0,2.1288, 0.002204023097
  -0,2.1136, 0.002174602397
  -0,2.0911, 0.002164060821
  -0,2.0698, 0.002143923541
  -0,2.0498, 0.002110925275
  -0,2.0298, 0.002101311200
  -0,2.0098, 0.002059766200
