      z/Rp             rho           P(bar)          T(K)
    9.74624e-01    1.01870e-03    1.00000e+02    2.73879e+03
    9.75225e-01    8.65643e-04    8.49753e+01    2.73879e+03
    9.75826e-01    7.35583e-04    7.22081e+01    2.73879e+03
    9.76427e-01    6.25064e-04    6.13591e+01    2.73879e+03
    9.77028e-01    5.31151e-04    5.21401e+01    2.73879e+03
    9.77629e-01    4.51347e-04    4.43062e+01    2.73879e+03
    9.78230e-01    3.83534e-04    3.76494e+01    2.73879e+03
    9.78831e-01    3.25909e-04    3.19927e+01    2.73879e+03
    9.79432e-01    2.76942e-04    2.71859e+01    2.73879e+03
    9.80033e-01    2.35333e-04    2.31013e+01    2.73879e+03
    9.80635e-01    1.99975e-04    1.96304e+01    2.73879e+03
    9.81236e-01    1.69929e-04    1.66810e+01    2.73879e+03
    9.81837e-01    1.44398e-04    1.41747e+01    2.73879e+03
    9.82438e-01    1.22703e-04    1.20450e+01    2.73879e+03
    9.83039e-01    1.04267e-04    1.02353e+01    2.73879e+03
    9.83640e-01    8.86013e-05    8.69749e+00    2.73879e+03
    9.84241e-01    7.52892e-05    7.39072e+00    2.73879e+03
    9.84842e-01    6.39773e-05    6.28029e+00    2.73879e+03
    9.85443e-01    5.43649e-05    5.33670e+00    2.73879e+03
    9.86044e-01    4.61968e-05    4.53488e+00    2.73879e+03
    9.86645e-01    3.92559e-05    3.85353e+00    2.73879e+03
    9.87246e-01    3.33578e-05    3.27455e+00    2.73879e+03
    9.87848e-01    2.83459e-05    2.78256e+00    2.73879e+03
    9.88449e-01    2.40870e-05    2.36449e+00    2.73879e+03
    9.89050e-01    2.04680e-05    2.00923e+00    2.73879e+03
    9.89651e-01    1.73928e-05    1.70735e+00    2.73879e+03
    9.90252e-01    1.47796e-05    1.45083e+00    2.73879e+03
    9.90853e-01    1.25590e-05    1.23285e+00    2.73879e+03
    9.91454e-01    1.06721e-05    1.04762e+00    2.73879e+03
    9.92055e-01    9.06861e-06    8.90215e-01    2.73879e+03
    9.92656e-01    7.70609e-06    7.56463e-01    2.73879e+03
